날짜,시가,고가,저가,종가,거래량,등락률
2017-07-28,37064,42712,37064,42715,16575162,
2017-07-31,42287,44579,40888,42247,5847301,-1.0956338522767177
2017-08-01,43222,44495,41694,43564,4252238,3.1173811158188744
2017-08-02,43136,44326,42457,43309,2938092,-0.5853456982829859
2017-08-03,42882,43902,41354,43819,4628580,1.1775843358193447
2017-08-04,43902,44579,42628,42631,1968160,-2.7111526963189485
2017-08-07,42245,43052,41354,42460,1529995,-0.40111655837301496
2017-08-08,42458,42882,41311,41314,1431555,-2.6990108337258594
2017-08-09,41311,41395,39824,39828,1416291,-3.596843684949412
2017-08-10,39910,40972,39824,40039,767555,0.529778045596063
2017-08-11,38890,39655,38551,39402,917372,-1.5909488248957266
2017-08-14,39402,41651,39358,41357,912016,4.961677072229835
2017-08-16,41905,42967,41736,42163,1002897,1.948884106680852
2017-08-17,42372,42628,41311,41950,531924,-0.505182268813889
2017-08-18,41693,42033,40929,41399,379573,-1.3134684147794995
2017-08-21,41608,41821,40547,40805,394583,-1.4348172661175391
2017-08-22,40716,41524,39910,40932,915462,0.3112363680921456
2017-08-23,40929,41269,40504,40763,370250,-0.412879898368025
2017-08-24,40589,40888,40251,40763,337675,0.0
2017-08-25,40888,41608,40632,40676,470779,-0.21342884478571253
2017-08-28,40674,41395,40461,41015,348396,0.8334152817386173
2017-08-29,40888,41395,40758,41272,371761,0.6266000243813239
2017-08-30,42458,42628,41184,41229,881853,-0.1041868579182012
2017-08-31,41226,41226,40504,40592,470448,-1.545028984452691
2017-09-01,40929,40929,40504,40634,259558,0.10346866377611352
2017-09-04,39443,40503,39315,40337,692906,-0.7309149972929074
2017-09-05,40420,40589,39867,40379,292284,0.10412276569898603
2017-09-06,40122,40716,40038,40720,347870,0.8444983778696848
2017-09-07,40504,40547,39655,39912,786405,-1.9842829076620823
2017-09-08,39994,40038,38126,38426,1248603,-3.723191020244538
2017-09-11,38933,39061,37362,37917,1023196,-1.3246239525321397
2017-09-12,38297,39061,37872,38979,583903,2.8008544979824355
2017-09-13,39316,40251,39103,39998,675085,2.6142281741450524
2017-09-14,40079,40376,39443,40337,507054,0.847542377118856
2017-09-15,40038,41693,39824,41526,1656102,2.947665914668914
2017-09-18,41693,42033,40843,41611,1466939,0.20469103694071183
2017-09-19,41608,41608,40461,40466,700029,-2.751676239455913
2017-09-20,40334,46704,40292,44074,4837299,8.916127119062917
2017-09-21,46024,46959,43646,45347,3290117,2.8883241820574486
2017-09-22,45007,45260,43052,43564,1441173,-3.9319028822193314
2017-09-25,43476,46110,43052,45942,1920462,5.458635570654669
2017-09-26,45683,46279,44579,45433,1368164,-1.107918680074877
2017-09-27,45514,46874,45260,45857,1454790,0.9332423568771597
2017-09-28,45940,45940,43986,44412,1042057,-3.151100159190527
2017-09-29,44920,49081,42542,47132,3699398,6.124470863730523
2017-10-10,48147,51374,47467,50952,3574629,8.10489688534329
2017-10-11,50866,51714,50356,50444,1462951,-0.9970168001256083
2017-10-12,50951,52648,50610,52564,2713810,4.20268019982555
2017-10-13,52903,58847,52308,53075,5640876,0.972148238338026
2017-10-16,54771,55195,51119,54009,2486327,1.7597739048516252
2017-10-17,53752,58252,52903,55793,4011401,3.303153178174008
2017-10-18,57149,58592,53326,53585,3880860,-3.9574857060921618
2017-10-19,54177,54261,50271,50952,2880538,-4.9136885322385
2017-10-20,51119,52564,50524,51377,1165234,0.8341183859318575
2017-10-23,50951,52564,50951,51461,688474,0.16349728477723494
2017-10-24,51800,54347,51205,54009,1314675,4.9513223606226076
2017-10-25,53158,53413,51628,51801,1157184,-4.088207520968727
2017-10-26,52223,53836,51374,51377,1060000,-0.818517017046003
2017-10-27,52223,52308,51119,51632,977296,0.4963310430737489
2017-10-30,51119,51374,47554,47555,2594848,-7.8962658816238
2017-10-31,47722,50016,47554,50018,1094987,5.17926611292188
2017-11-01,50951,51628,49081,49679,1132679,-0.6777560078371786
2017-11-02,50016,50439,48317,48659,1101792,-2.053181424746875
2017-11-03,49252,50694,48742,49509,1111586,1.7468505312480735
2017-11-06,50524,50524,48487,49169,634592,-0.6867438243551677
2017-11-07,49167,49252,47214,48065,894868,-2.2453171713884763
2017-11-08,48063,49506,47891,49169,1072740,2.2968896286278997
2017-11-09,49506,49590,48063,49084,597804,-0.17287315178262727
2017-11-10,49081,51969,48827,51632,2108004,5.191100969766115
2017-11-13,52564,57573,52478,56896,4840453,10.195227765726681
2017-11-14,58677,59951,55876,58086,4062879,2.091535433070866
2017-11-15,58847,67254,57998,65304,10145515,12.426402231174466
2017-11-16,67849,70566,65302,69890,6269390,7.022540732573809
2017-11-17,68359,70566,66320,68106,3786989,-2.5525826298469023
2017-11-20,67933,71162,67000,68531,2468671,0.6240272516371538
2017-11-21,70395,75661,68784,73881,5472450,7.806686025302417
2017-11-22,76002,82201,72349,75070,8911860,1.6093447571094057
2017-11-23,72180,76766,69462,76768,3859680,2.2618889036898895
2017-11-24,78038,79569,73113,73117,2659430,-4.755887869945811
2017-11-27,70735,77190,70735,76853,2412275,5.109618830094233
2017-11-28,78293,78804,74473,74474,2423637,-3.0955200187370693
2017-11-29,75067,75661,71330,74474,2286220,0.0
2017-11-30,75152,75918,72349,74051,5016592,-0.5679834573139619
2017-12-01,75491,78125,74388,76259,2387451,2.9817288085238554
2017-12-04,75831,76002,72605,73710,1488133,-3.342556288438086
2017-12-05,73623,73623,69208,69210,2142668,-6.105006105006105
2017-12-06,69632,71415,66830,68955,1459080,-0.3684438664932813
2017-12-07,68613,69292,61905,62926,3194215,-8.743383365963311
2017-12-08,62839,69122,62754,66153,2919464,5.128245876108445
2017-12-11,67084,72095,66915,71927,2263435,8.728251175305731
2017-12-12,74132,75745,71756,73881,2257411,2.716643263308632
2017-12-13,75321,79653,74132,79061,3030299,7.011274887995561
2017-12-14,81437,82964,73623,79825,8466992,0.9663424444416338
2017-12-15,79314,80333,76851,76853,1999238,-3.723144378327592
2017-12-18,78125,78804,74727,75578,1937733,-1.6590113593483664
2017-12-19,74727,78125,71330,77958,2461825,3.1490645425917596
2017-12-20,77700,79738,76171,76429,1803221,-1.9613125016034274
2017-12-21,75577,78549,75152,75665,1677375,-0.9996205628753484
2017-12-22,76766,81437,76002,81439,3238590,7.631005088217801
2017-12-26,82116,86956,81606,85006,4374705,4.379965372855757
2017-12-27,88726,93920,85696,93143,3580833,9.572265487142085
2017-12-28,93139,96863,91843,94008,2737051,0.9286795572399429
2018-01-02,92274,94352,90543,92364,3300141,-1.7487873372478937
2018-01-03,93053,96516,92794,94787,3585896,2.6233164436360488
2018-01-04,95217,97036,89331,91757,3034072,-3.1966408895734646
2018-01-05,92448,94525,90457,94354,1878175,2.8303017753413906
2018-01-08,97729,103614,96688,101711,4069515,7.797231701888633
2018-01-09,101883,102229,95217,97385,3825497,-4.253227281218354
2018-01-10,98507,100931,91150,94354,2318955,-3.1123889716075372
2018-01-11,94352,113570,91582,111321,6524422,17.982279500604108
2018-01-12,114434,141962,111319,128202,13453053,15.164254722828577
2018-01-15,129410,141097,124044,133135,8060424,3.8478338871468463
2018-01-16,128198,133826,126034,131317,3380054,-1.3655312277012055
2018-01-17,132527,134171,112963,112965,6301604,-13.97534211107473
2018-01-18,112616,119802,111924,116514,4325207,3.141681051653167
2018-01-19,117378,118244,105520,107340,4588815,-7.873731912044904
2018-01-22,103960,105172,100238,102145,3578472,-4.839761505496553
2018-01-23,104306,113397,103355,107165,4142035,4.914582211561995
2018-01-24,111232,111924,103095,103963,2321143,-2.987915830728316
2018-01-25,103528,104566,98421,101107,2163594,-2.7471311909044562
2018-01-26,100845,108116,98766,105694,2679248,4.536777868990278
2018-01-29,103009,113656,103009,112965,2960257,6.879293053531894
2018-01-30,114263,122572,111232,117727,4408265,4.215464967025185
2018-01-31,114781,119888,114001,118592,2745510,0.7347507368742939
2018-02-01,118070,119628,109068,109243,2948217,-7.883331084727469
2018-02-02,112704,113397,104566,108377,3100428,-0.7927281381873439
2018-02-05,104394,106384,101623,102145,1953416,-5.75029757236314
2018-02-06,98074,107856,96863,107079,4134716,4.830388173674678
2018-02-07,109934,110020,96688,96864,3160414,-9.539685652648979
2018-02-08,98853,107856,91928,105175,4971549,8.580071027419887
2018-02-09,100499,108028,99632,103011,3633976,-2.057523175659615
2018-02-12,105346,106991,100499,100674,2223347,-2.2686897515799282
2018-02-13,103095,104220,97814,98077,1833066,-2.5796134056459463
2018-02-14,100411,103614,98853,103530,1622465,5.5599172079080725
2018-02-19,106038,112445,105346,112446,2755967,8.61199652274703
2018-02-20,112011,113049,107596,108638,1710417,-3.3865144158084766
2018-02-21,108981,111493,107943,110022,1228020,1.273955706106519
2018-02-22,108981,109674,106471,108464,1163023,-1.4160804202795805
2018-02-23,108635,110193,107683,108725,1198177,0.24063283670157842
2018-02-26,110539,112445,109242,110714,1438427,1.829386065762244
2018-02-27,112616,114608,111232,112533,2301601,1.642971981863179
2018-02-28,104739,108635,102835,103530,4365257,-8.00031990616086
2018-03-02,103009,105346,101883,104396,2085618,0.8364725200424997
2018-03-05,105864,106816,101191,101366,1692188,-2.9024100540250584
2018-03-06,102488,104739,100499,103357,1148927,1.9641694453761616
2018-03-07,96949,98074,90023,91064,8143114,-11.893727565622067
2018-03-08,92102,95217,90889,94094,2463779,3.327330229289291
2018-03-09,94093,97296,89764,90631,1985380,-3.6803621910004884
2018-03-12,91582,92274,88294,92276,1393252,1.8150522448168949
2018-03-13,92274,92274,89071,90805,1461404,-1.5941306515236897
2018-03-14,89504,91582,89158,90805,1019838,0.0
2018-03-15,91756,95217,91409,93661,1677607,3.1452012554374758
2018-03-16,95303,96516,93228,94528,1194370,0.9256787777196485
2018-03-19,94958,95996,93139,93143,613701,-1.4651743398781314
2018-03-20,92015,98161,91756,97817,1408727,5.018090463051437
2018-03-21,98421,98681,94352,94787,1221401,-3.0976210679125304
2018-03-22,95478,97209,91756,93057,972528,-1.8251447983373248
2018-03-23,89591,93053,88294,88555,1342261,-4.8378950535693175
2018-03-26,88725,90802,86560,89766,1239017,1.3675117158827848
2018-03-27,90889,91928,88638,89074,861761,-0.7708932112381081
2018-03-28,87601,88206,85263,86996,1457475,-2.3328917529245348
2018-03-29,88986,93228,87514,93143,1387847,7.065842107683112
2018-03-30,94265,95391,91582,92191,977347,-1.0220843219565614
2018-04-02,92188,94093,90803,90805,530096,-1.5034005488605178
2018-04-03,89158,90371,88379,89594,750617,-1.3336270029183415
2018-04-04,90803,90803,87339,87429,892267,-2.4164564591378888
2018-04-05,86647,93313,84917,87602,2006462,0.19787484701872374
2018-04-06,87686,88986,87167,87257,631378,-0.39382662496290044
2018-04-09,88726,91322,87514,88901,972892,1.8840895286338057
2018-04-10,90371,90457,87946,88294,692054,-0.6827819709564572
2018-04-11,89246,89331,86561,86650,885990,-1.8619611751647904
2018-04-12,86994,87686,85089,85265,993376,-1.5983843046739759
2018-04-13,85176,85263,81539,82668,1352147,-3.0457983932445902
2018-04-16,82665,85176,82407,82668,843977,0.0
2018-04-17,83272,83358,80243,81284,927506,-1.6741665457008756
2018-04-18,82232,82753,78944,79119,924137,-2.663500811967915
2018-04-19,78424,78511,74442,74531,1863877,-5.798859945145919
2018-04-20,74182,77039,72711,75223,1515668,0.9284727160510391
2018-04-23,74442,75222,70547,70550,1293809,-6.212195738005663
2018-04-24,70807,74010,70547,70896,1300280,0.49043231750531535
2018-04-25,70807,74874,70461,74445,1455286,5.005924170616114
2018-04-26,75915,76953,75049,76350,1140012,2.5589361273423332
2018-04-27,77904,80848,76347,80504,1344089,5.440733464309103
2018-04-30,79982,80761,76780,77734,1039726,-3.440822816257577
2018-05-02,76260,78511,74530,75483,1020988,-2.8957727635268995
2018-05-03,75915,77904,75135,75138,774516,-0.4570565557807718
2018-05-04,75394,75827,71412,71415,991249,-4.954883015251936
2018-05-08,71672,74097,66651,66654,1303370,-6.666666666666667
2018-05-09,66912,77300,66912,76263,2993519,14.41623908542623
2018-05-10,77386,79289,75915,78946,1689001,3.5180887193003163
2018-05-11,78424,80848,77818,78859,1168803,-0.11020191016644289
2018-05-14,79117,79636,75828,76003,982865,-3.621653837862514
2018-05-15,77818,81629,77558,80764,1984472,6.2642264121153115
2018-05-16,82232,83446,80243,80417,1378103,-0.4296468723688772
2018-05-17,81454,81714,79030,80504,756164,0.10818608005769925
2018-05-18,81195,82839,80674,81457,820765,1.1837921097088344
2018-05-21,81714,81973,80155,80158,609320,-1.5947064095166774
2018-05-23,80329,80503,77211,78167,934408,-2.4838444072955914
2018-05-24,78338,80936,78251,79639,725355,1.8831476198395745
2018-05-25,81107,86907,81107,85351,2713170,7.172365298409071
2018-05-28,83965,86735,82666,85958,1553383,0.7111808883317126
2018-05-29,86908,89504,84570,84573,1552191,-1.6112520067940155
2018-05-30,85696,87081,83532,86996,1286981,2.8649805493479006
2018-05-31,88726,88811,85350,86391,984352,-0.6954342728401306
2018-06-01,85436,88726,85436,87950,885382,1.804586125869593
