날짜,시가,고가,저가,종가,거래량,등락률
2020-09-10,48000,62400,48000,62400,561750,
2020-09-11,81100,81100,81100,81100,5013124,29.967948717948715
2020-09-14,86500,89100,73400,73800,20213705,-9.001233045622687
2020-09-15,69900,71200,67100,67500,8309414,-8.536585365853659
2020-09-16,66200,69500,65400,66300,5054826,-1.7777777777777777
2020-09-17,67000,67800,64600,64600,2373993,-2.564102564102564
2020-09-18,65400,65700,62800,63400,1914512,-1.8575851393188854
2020-09-21,63400,63400,59000,59500,2796724,-6.151419558359621
2020-09-22,59400,59400,55700,55800,2177965,-6.218487394957983
2020-09-23,56500,58500,55700,55800,2348911,0.0
2020-09-24,54100,54700,51200,51200,1817508,-8.24372759856631
2020-09-25,51800,52700,50000,50200,1460915,-1.953125
2020-09-28,51000,52300,50300,51200,1175400,1.9920318725099602
2020-09-29,51900,59000,51600,56200,5973601,9.765625
2020-10-05,55400,55700,53500,54200,1084588,-3.558718861209965
2020-10-06,54500,56300,54100,54300,1108491,0.18450184501845018
2020-10-07,54200,55000,53600,54500,486108,0.3683241252302026
2020-10-08,53100,54000,53000,53000,1074274,-2.7522935779816518
2020-10-12,45350,49800,45300,49100,6330061,-7.3584905660377355
2020-10-13,49650,50700,48550,49150,1845095,0.10183299389002036
2020-10-14,49300,49550,48000,48250,1094816,-1.8311291963377416
2020-10-15,48000,48150,45750,46300,1556423,-4.041450777202073
2020-10-16,46100,46900,45500,45850,899954,-0.9719222462203023
2020-10-19,45850,46350,45000,45050,678392,-1.7448200654307526
2020-10-20,44500,45400,44000,44750,807867,-0.6659267480577136
2020-10-21,45000,47300,44950,46650,1359297,4.245810055865921
2020-10-22,47000,47300,46300,46500,657267,-0.3215434083601286
2020-10-23,46400,46750,45450,45500,512008,-2.1505376344086025
2020-10-26,45200,45350,44050,44100,575048,-3.076923076923077
2020-10-27,43700,44600,42950,44050,422999,-0.11337868480725624
2020-10-28,43950,44950,43950,44650,404797,1.362088535754824
2020-10-29,44000,44850,43850,44600,359512,-0.11198208286674133
2020-10-30,44950,46600,44550,45150,720458,1.2331838565022422
2020-11-02,45500,46350,45500,46250,468995,2.436323366555925
2020-11-03,46800,47300,46450,46950,645299,1.5135135135135136
2020-11-04,47550,47700,46450,47000,711933,0.10649627263045794
2020-11-05,47650,49700,47300,48950,1694857,4.148936170212766
2020-11-06,49700,50700,49000,49150,1131914,0.40858018386108275
2020-11-09,50100,50400,49500,50000,769608,1.7293997965412005
2020-11-10,49200,49400,48550,48900,691857,-2.1999999999999997
2020-11-11,48850,48850,47650,48350,562943,-1.1247443762781186
2020-11-12,48450,49150,48450,48650,325217,0.6204756980351602
2020-11-13,48050,48400,47700,48150,351364,-1.027749229188078
2020-11-16,48200,48750,48150,48600,354499,0.9345794392523363
2020-11-17,49100,49100,48000,48000,420394,-1.2345679012345678
2020-11-18,48050,48500,48050,48250,274818,0.5208333333333333
2020-11-19,48050,48100,47500,47950,339208,-0.6217616580310881
2020-11-20,47650,48450,47550,48250,313210,0.6256517205422315
2020-11-23,48250,49050,48250,49050,550264,1.6580310880829014
2020-11-24,49250,49500,48850,49100,429791,0.10193679918450561
2020-11-25,49350,49400,48100,48450,512762,-1.3238289205702647
2020-11-26,48600,49200,48600,49050,421188,1.238390092879257
2020-11-27,49900,49900,49000,49650,655785,1.2232415902140672
2020-11-30,49700,49800,49000,49450,490301,-0.4028197381671702
2020-12-01,49550,49550,48800,48900,489309,-1.1122345803842264
2020-12-02,48900,49050,47800,47950,705710,-1.9427402862985685
2020-12-03,48350,48700,47950,48150,465327,0.4171011470281543
2020-12-04,48650,50700,48400,49900,2077596,3.6344755970924196
2020-12-07,50400,50400,49000,49200,674837,-1.402805611222445
