날짜,시가,고가,저가,종가,거래량,등락률
2016-01-04,11791,11911,11371,11391,49682,-2.9065802932151383
2016-01-05,11251,12011,11171,11912,73706,4.5737863225353355
2016-01-06,11971,12252,11611,12072,68925,1.3431833445265278
2016-01-07,12091,12392,11431,11571,82196,-4.150099403578529
2016-01-08,11411,11951,11271,11872,51916,2.601330913490623
2016-01-11,11791,12172,11671,11812,59078,-0.5053908355795148
2016-01-12,11831,11871,11371,11491,51487,-2.7175753471046393
2016-01-13,11611,11891,11411,11892,55387,3.489687581585589
2016-01-14,11631,11891,11491,11892,66505,0.0
2016-01-15,11911,12152,11611,11652,76563,-2.0181634712411705
2016-01-18,11471,11951,11411,11892,45575,2.059732234809475
2016-01-19,11931,12312,11651,12312,90148,3.5317860746720484
2016-01-20,12352,12612,11771,12192,92244,-0.9746588693957114
2016-01-21,12192,12872,11891,12512,100873,2.6246719160104988
2016-01-22,12572,12892,12312,12813,61085,2.405690537084399
2016-01-25,12812,13153,12672,12913,80533,0.7804573480059315
2016-01-26,12832,13072,12792,13013,49997,0.7744133818632386
2016-01-27,13012,13113,12432,12753,70401,-1.998001998001998
2016-01-28,12672,13032,12532,12913,52907,1.2546067591939152
2016-01-29,12872,13072,12712,12953,22246,0.30976535274529543
2016-02-01,12872,13313,12812,13093,25582,1.0808306955917548
2016-02-02,13092,13092,12592,12713,38273,-2.9023142137019784
2016-02-03,12612,12772,12312,12572,70263,-1.109100920317785
2016-02-04,12512,13092,12312,12933,57579,2.8714603881641745
2016-02-05,13092,13092,12712,12833,28521,-0.7732158045310445
2016-02-11,12552,12572,11791,12112,61645,-5.618327748772695
2016-02-12,12051,12051,10910,11111,101419,-8.26453104359313
2016-02-15,11311,11431,11070,11211,36006,0.900009000090001
2016-02-16,11291,11571,11291,11291,43442,0.7135848720007135
2016-02-17,11371,11431,10410,10751,64915,-4.782570188645824
2016-02-18,10750,11010,10750,10991,44589,2.232350479025207
2016-02-19,10910,11631,10910,11612,42952,5.650077336002184
2016-02-22,11571,11611,11331,11612,31858,0.0
2016-02-23,11651,11711,11010,11011,53249,-5.175680330692387
2016-02-24,10970,11211,10890,10891,28318,-1.0898192716374535
2016-02-25,10910,11291,10850,11211,35312,2.9382058580479296
2016-02-26,11211,11611,11211,11451,32481,2.1407546160021407
2016-02-29,11571,11571,11191,11351,22657,-0.8732861758798359
2016-03-02,11431,11591,11371,11591,20508,2.114351158488239
2016-03-03,11531,12132,11231,11932,63923,2.941937710292468
2016-03-04,12031,12332,11811,12132,71249,1.6761649346295675
2016-03-07,12132,12172,11891,11912,36416,-1.8133860863831188
2016-03-08,11911,11971,11451,11551,44325,-3.030557421087978
2016-03-09,11611,11791,11431,11551,15035,0.0
2016-03-10,11571,11731,11511,11672,19346,1.047528352523591
2016-03-11,11671,11851,11511,11832,16175,1.3708019191226868
2016-03-14,11751,11811,11431,11471,24596,-3.0510480054090605
2016-03-15,11511,11791,11371,11732,30218,2.2753029378432568
2016-03-16,11711,12011,11671,11992,42606,2.216160927378111
2016-03-17,12152,12312,11911,12052,57227,0.5003335557038026
2016-03-18,12091,12812,12091,12733,77224,5.65051443743777
2016-03-21,12672,13213,12672,12913,56362,1.413649571978324
2016-03-22,13032,13873,12872,13714,122660,6.203051188724541
2016-03-23,13773,13793,13393,13433,36482,-2.049001020854601
2016-03-24,13453,13733,13373,13393,56117,-0.29777413831608723
2016-03-25,13393,13813,13313,13794,55615,2.9941013962517733
2016-03-28,13773,13793,13213,13373,39039,-3.0520516166449183
2016-03-29,13613,13613,13133,13453,37901,0.5982202946234951
2016-03-30,13353,13653,13213,13533,32637,0.5946629004682971
2016-03-31,13513,13633,13012,13213,42855,-2.364590260843863
2016-04-01,13213,13913,13153,13413,80079,1.5136607886172708
2016-04-04,13533,13753,13413,13593,44933,1.3419816595839857
2016-04-05,13633,13893,13413,13874,71361,2.0672404914294122
2016-04-06,13873,14374,13393,13614,93009,-1.8740089375810869
2016-04-07,13713,13973,13513,13974,31548,2.6443367122080215
2016-04-08,13953,14294,13873,14114,44992,1.0018605982539002
2016-04-11,14073,14073,13693,13694,32218,-2.9757687402579
2016-04-12,13693,14013,13693,14014,31849,2.3367898349642178
2016-04-14,13993,13993,13193,13193,61565,-5.858427286998716
2016-04-15,13193,13413,12992,13393,39259,1.5159554309103314
2016-04-18,13393,13433,13213,13293,17347,-0.7466587023071753
2016-04-19,13153,13533,13153,13413,19573,0.9027307605506657
2016-04-20,13613,13613,13313,13393,23082,-0.1491090732871095
2016-04-21,13453,13453,13052,13353,37143,-0.29866348092287015
2016-04-22,13313,13313,12712,12973,48567,-2.8458024413989365
2016-04-25,12952,12992,12832,12993,26062,0.15416634548678024
2016-04-26,12932,13333,12832,13333,31640,2.6167936581236053
2016-04-27,13253,13273,12632,13033,50781,-2.2500562514062854
2016-04-28,13032,13072,12732,12893,25609,-1.0741962710043735
