날짜,시가,고가,저가,종가,거래량,등락률
2016-01-04,189400,190700,171100,186000,12091,-2.515723270440252
2016-01-05,180500,187900,180500,185900,14818,-0.053763440860215055
2016-01-06,185100,187000,181900,185700,13342,-0.10758472296933834
2016-01-07,185800,185800,181100,181100,9642,-2.4771136241249323
2016-01-08,180000,180000,174700,176100,39726,-2.7609055770292654
2016-01-11,175300,176400,172100,172100,16095,-2.271436683702442
2016-01-12,172100,173800,170500,171400,21617,-0.40674026728646134
2016-01-13,171200,176400,171200,176300,8468,2.8588098016336057
2016-01-14,174200,175500,172000,172200,11530,-2.3255813953488373
2016-01-15,172600,174800,170600,170700,8285,-0.8710801393728222
2016-01-18,170000,173900,169300,173900,7591,1.8746338605741066
2016-01-19,173900,176900,173500,176800,11456,1.6676250718803909
2016-01-20,176000,177200,170200,174500,19262,-1.3009049773755657
2016-01-21,172200,175400,172000,174500,14144,0.0
2016-01-22,174500,176600,173200,176300,10064,1.0315186246418337
2016-01-25,175500,181700,175500,181200,23655,2.7793533749290984
2016-01-26,181200,181200,178100,178500,7018,-1.490066225165563
2016-01-27,178500,180700,173600,174400,24758,-2.296918767507003
2016-01-28,174400,175500,172000,173400,16308,-0.573394495412844
2016-01-29,174900,180000,173400,179000,26379,3.229527104959631
2016-02-01,180800,180800,177200,177800,11710,-0.6703910614525139
2016-02-02,177800,178300,175200,177100,15549,-0.39370078740157477
2016-02-03,176000,184000,176000,183500,29106,3.613777526821005
2016-02-04,183500,194900,183500,192100,58325,4.686648501362398
2016-02-05,193000,193000,188000,192000,24970,-0.052056220718375845
2016-02-11,185500,188800,182400,185700,22309,-3.28125
2016-02-12,185000,185000,178700,180700,26246,-2.6925148088314486
2016-02-15,180300,183000,178500,182500,14302,0.996126175982291
2016-02-16,182800,186100,181600,184500,25630,1.095890410958904
2016-02-17,183000,187000,182700,186500,18062,1.084010840108401
2016-02-18,187900,187900,183600,185200,23977,-0.6970509383378015
2016-02-19,184700,186600,184100,185200,12629,0.0
2016-02-22,186100,186500,185000,186000,12001,0.4319654427645789
2016-02-23,185200,186200,183600,184600,15666,-0.7526881720430108
2016-02-24,185200,190800,185200,189300,38820,2.5460455037919827
2016-02-25,189300,191500,188000,191000,24236,0.8980454305335447
2016-02-26,191900,191900,188300,189000,18496,-1.0471204188481675
2016-02-29,188900,188900,186100,187300,13829,-0.8994708994708994
2016-03-02,189400,189900,187500,188100,19187,0.42712226374799783
2016-03-03,188000,194000,188000,193900,30993,3.083466241360978
2016-03-04,190000,194000,190000,190900,21277,-1.547189272821042
2016-03-07,190900,192900,187600,188300,17641,-1.3619696176008382
2016-03-08,188000,193200,188000,192300,24649,2.1242697822623473
2016-03-09,191000,192400,189000,191600,11652,-0.36401456058242326
2016-03-10,190500,191600,188500,191600,20042,0.0
2016-03-11,189500,191400,187100,187600,16665,-2.0876826722338206
2016-03-14,187700,189900,185700,187600,14217,0.0
2016-03-15,187000,189300,186200,188900,13638,0.6929637526652452
2016-03-16,188900,189400,185600,189400,18865,0.2646903123345686
2016-03-17,190500,190500,188200,188200,25094,-0.6335797254487857
2016-03-18,189300,190500,188000,190300,12949,1.1158342189160468
2016-03-21,190300,192500,188200,192000,20532,0.8933263268523385
2016-03-22,192000,194000,191500,193300,20953,0.6770833333333334
2016-03-23,193800,194800,192700,194500,20037,0.6207966890843248
2016-03-24,194500,195400,192100,194500,15879,0.0
2016-03-25,194500,195700,192800,195400,9212,0.46272493573264784
2016-03-28,194200,197600,193000,196800,20138,0.7164790174002047
2016-03-29,196100,197100,191200,196300,17178,-0.25406504065040647
2016-03-30,196300,196300,193400,196200,20292,-0.05094243504839531
2016-03-31,196200,198400,195500,198000,20254,0.9174311926605505
2016-04-01,197000,197800,192500,192800,23912,-2.6262626262626263
2016-04-04,192800,193400,189300,193400,15334,0.3112033195020747
2016-04-05,193400,196000,190800,194200,8880,0.4136504653567736
2016-04-06,194200,196300,191100,193900,9672,-0.15447991761071062
2016-04-07,195000,196000,191500,195500,14218,0.8251676121712224
2016-04-08,195500,195600,192000,195400,15258,-0.051150895140664954
2016-04-11,196100,196100,191100,191500,13585,-1.9959058341862845
2016-04-12,191500,193800,189100,192900,10465,0.7310704960835509
2016-04-14,193000,199000,191000,199000,31689,3.162260238465526
2016-04-15,198900,198900,193700,195600,23284,-1.7085427135678393
2016-04-18,195600,197300,193000,196900,10963,0.6646216768916156
2016-04-19,196000,200500,194900,200500,16581,1.8283392585068563
2016-04-20,200500,201000,197500,200500,18678,0.0
2016-04-21,200000,201500,198300,201000,18051,0.24937655860349126
2016-04-22,201000,201000,197500,198600,12555,-1.1940298507462688
2016-04-25,197500,198800,195100,196800,14434,-0.906344410876133
2016-04-26,196600,201800,196200,200000,8925,1.6260162601626018
2016-04-27,200000,201400,197400,199300,9447,-0.35000000000000003
2016-04-28,198300,201500,198200,201300,9378,1.0035122930255895
2016-04-29,200900,201500,198500,199800,6726,-0.7451564828614009
2016-05-02,199800,199800,196000,196400,7481,-1.7017017017017018
2016-05-03,198300,198300,194000,196400,8791,0.0
2016-05-04,196500,197900,195800,196000,5313,-0.20366598778004072
2016-05-09,196000,198900,192700,198000,18809,1.0204081632653061
2016-05-10,198000,200800,197200,199100,11566,0.5555555555555556
2016-05-11,198300,199500,196200,198000,16428,-0.5524861878453038
2016-05-12,197000,199300,196300,197700,5385,-0.15151515151515152
2016-05-13,197700,199400,195700,199000,11261,0.6575619625695498
2016-05-16,196900,199000,195800,197500,11065,-0.7537688442211055
2016-05-17,197000,197000,194300,194500,16054,-1.5189873417721518
2016-05-18,191200,195100,191200,194500,17449,0.0
2016-05-19,195600,195600,190100,190400,13236,-2.107969151670951
2016-05-20,189000,192000,189000,190400,7581,0.0
2016-05-23,189300,192000,188000,190300,13698,-0.052521008403361345
2016-05-24,190300,197000,189000,196300,21416,3.1529164477141354
2016-05-25,195700,195700,191900,192700,16199,-1.8339276617422313
2016-05-26,191200,193000,190000,190000,15351,-1.401141670991178
2016-05-27,190400,190700,188100,189500,13246,-0.2631578947368421
2016-05-30,191800,193000,190100,190100,15733,0.31662269129287596
2016-05-31,188100,193100,188100,193000,16153,1.5255128879537085
2016-06-01,192800,192800,189600,189700,26535,-1.709844559585492
2016-06-02,189800,191800,189800,190300,12390,0.316288877174486
2016-06-03,190300,191000,186200,191000,18179,0.36784025223331585
2016-06-07,190000,191100,188300,190100,14902,-0.4712041884816754
2016-06-08,188700,189900,188200,188700,11674,-0.7364544976328248
2016-06-09,188700,198000,186100,198000,17076,4.92845786963434
2016-06-10,192500,192900,190000,190200,13284,-3.939393939393939
2016-06-13,191700,191700,186100,186500,21087,-1.9453207150368035
2016-06-14,184800,187800,184800,186400,14363,-0.05361930294906167
2016-06-15,186800,187500,185200,185300,9551,-0.5901287553648069
2016-06-16,185300,187000,184000,185100,6347,-0.10793308148947653
2016-06-17,187500,187500,183600,185000,7752,-0.05402485143165856
2016-06-20,186300,186300,183000,183900,14345,-0.5945945945945946
2016-06-21,183600,183600,179400,182000,22584,-1.0331702011963024
2016-06-22,183000,184900,181600,184500,8913,1.3736263736263736
2016-06-23,184500,184700,181400,183200,7203,-0.7046070460704607
