날짜,시가,고가,저가,종가,거래량,등락률
2025-05-19,5600,8300,5500,7500,199182296,
2025-05-20,7150,7430,6330,6880,22466796,-8.266666666666666
2025-05-21,7200,7460,6760,7130,16775760,3.6337209302325584
2025-05-22,6980,7060,6520,6620,6702778,-7.152875175315568
2025-05-23,6510,6550,5840,5880,4674476,-11.178247734138973
2025-05-26,6070,6450,5920,6100,6812829,3.741496598639456
2025-05-27,6360,6990,6330,6520,22125937,6.885245901639345
2025-05-28,7050,7080,6460,6600,7425303,1.2269938650306749
2025-05-29,6600,6900,6450,6780,8605028,2.727272727272727
2025-05-30,7000,7140,6480,6510,5990964,-3.982300884955752
2025-06-02,6320,6720,6100,6380,3256571,-1.9969278033794162
2025-06-04,6470,6490,6060,6100,1863133,-4.38871473354232
2025-06-05,6010,6110,5870,5900,1724322,-3.278688524590164
2025-06-09,5930,6020,5620,5710,1359500,-3.2203389830508473
2025-06-10,5760,5960,5750,5910,1516032,3.502626970227671
2025-06-11,5900,6010,5680,5950,1138052,0.676818950930626
2025-06-12,5950,5990,5800,5810,1040581,-2.3529411764705883
2025-06-13,5850,5870,5400,5520,1011399,-4.991394148020654
2025-06-16,5380,5460,5240,5290,728795,-4.166666666666666
2025-06-17,5340,5620,5280,5410,823418,2.2684310018903595
2025-06-18,5320,5510,5270,5290,646145,-2.2181146025878005
2025-06-19,5230,5260,4970,4990,980158,-5.671077504725898
2025-06-20,4915,5310,4835,5100,1949901,2.2044088176352705
2025-06-23,4920,4950,4840,4865,553849,-4.6078431372549025
2025-06-24,4940,5100,4900,4925,721286,1.2332990750256936
2025-06-25,4965,5190,4965,5100,1015490,3.5532994923857872
2025-06-26,5080,5090,4870,4950,558243,-2.941176470588235
2025-06-27,5000,5050,4850,4855,397654,-1.9191919191919191
2025-06-30,4860,4890,4590,4675,490553,-3.7075180226570548
2025-07-01,4630,4700,4625,4655,359706,-0.42780748663101603
2025-07-02,4630,4700,4455,4685,567604,0.644468313641246
2025-07-03,4685,4955,4675,4905,622101,4.695837780149413
2025-07-04,5000,5000,4720,4765,387140,-2.854230377166157
2025-07-07,4745,4755,4535,4540,413666,-4.72193074501574
2025-07-08,4550,4680,4545,4610,238951,1.5418502202643172
2025-07-09,4795,4935,4685,4770,641035,3.470715835140998
2025-07-10,4980,6090,4885,5700,16145266,19.49685534591195
2025-07-11,5680,5730,5450,5600,2260238,-1.7543859649122806
2025-07-14,6100,6250,5500,5620,4743315,0.35714285714285715
2025-07-15,5940,6070,5730,5880,4042420,4.6263345195729535
2025-07-16,5840,6340,5720,6300,6070122,7.142857142857142
2025-07-17,6160,6590,6060,6360,6435552,0.9523809523809524
2025-07-18,6430,6460,6200,6300,1635194,-0.9433962264150944
2025-07-21,6310,6320,5950,5980,1304927,-5.079365079365079
2025-07-22,5950,6090,5650,5960,1203893,-0.33444816053511706
2025-07-23,5900,5960,5680,5740,700012,-3.691275167785235
2025-07-24,5780,5870,5640,5640,555760,-1.7421602787456445
2025-07-25,5580,5660,5500,5580,450055,-1.0638297872340425
2025-07-28,5850,5930,5620,5620,786994,0.7168458781362007
2025-07-29,5720,5840,5500,5800,564117,3.202846975088968
2025-07-30,5760,5800,5630,5630,418914,-2.9310344827586206
2025-07-31,5680,5700,5550,5670,385301,0.7104795737122558
2025-08-01,5580,5670,5330,5350,536207,-5.64373897707231
2025-08-04,5300,5410,5210,5330,202252,-0.3738317757009346
2025-08-05,5550,5550,5300,5330,312314,0.0
2025-08-06,5290,5320,5140,5300,266785,-0.5628517823639775
2025-08-07,5290,5290,5200,5210,287267,-1.6981132075471699
2025-08-08,5180,5250,5060,5080,354435,-2.495201535508637
2025-08-11,5100,5220,5020,5160,274080,1.574803149606299
2025-08-12,5290,5310,5110,5110,243571,-0.9689922480620154
2025-08-13,5190,5210,5060,5130,155147,0.3913894324853229
2025-08-14,5240,5750,5220,5370,1936459,4.678362573099415
2025-08-18,5330,5540,5180,5450,510811,1.48975791433892
2025-08-19,5210,5270,5100,5130,811958,-5.871559633027523
2025-08-20,4995,5070,4850,4855,1120533,-5.360623781676413
2025-08-21,4850,4910,4670,4700,1185137,-3.192584963954686
2025-08-22,4660,5040,4660,4895,1198170,4.148936170212766
2025-08-25,4905,5490,4905,5300,2719740,8.273748723186927
2025-08-26,5200,5370,5180,5210,571717,-1.6981132075471699
2025-08-27,5220,5260,5140,5240,407264,0.5758157389635317
2025-08-28,5240,5250,5110,5130,469523,-2.099236641221374
2025-08-29,5150,5340,5150,5290,650556,3.1189083820662766
2025-09-01,5330,5350,5160,5240,594241,-0.945179584120983
2025-09-02,5200,5390,5200,5330,680228,1.717557251908397
2025-09-03,5330,5650,5210,5580,2156988,4.690431519699812
2025-09-04,5580,5720,5520,5650,1329058,1.2544802867383513
2025-09-05,5650,5860,5600,5770,1428018,2.1238938053097343
2025-09-08,5890,5930,5760,5770,1542960,0.0
2025-09-09,5790,5800,5680,5780,781180,0.17331022530329288
2025-09-10,5830,5840,5720,5760,780704,-0.34602076124567477
2025-09-11,5770,5850,5730,5750,729360,-0.1736111111111111
2025-09-12,5750,6090,5700,5990,2416389,4.173913043478262
2025-09-15,6030,6080,5870,5980,945293,-0.1669449081803005
2025-09-16,6000,6080,5800,5940,1115746,-0.6688963210702341
2025-09-17,5960,5980,5810,5840,722545,-1.6835016835016834
2025-09-18,5890,6130,5830,5890,1537065,0.8561643835616438
2025-09-19,5870,6040,5780,5890,1047973,0.0
2025-09-22,5960,6010,5830,6000,838974,1.8675721561969438
2025-09-23,6000,6040,5800,5980,1087780,-0.33333333333333337
2025-09-24,6000,6000,5660,5700,1082233,-4.682274247491638
2025-09-25,5690,6100,5620,5750,1664612,0.8771929824561403
2025-09-26,5700,5700,5400,5450,1192110,-5.217391304347826
2025-09-29,5450,5610,5410,5560,460531,2.0183486238532113
2025-09-30,5510,6600,5510,6470,28281994,16.366906474820144
2025-10-01,6330,6350,6020,6110,5480597,-5.564142194744977
2025-10-02,6160,6250,5920,5960,3283894,-2.454991816693944
2025-10-10,6120,6400,5980,6300,5676812,5.704697986577181
2025-10-13,6200,6500,6100,6150,4833144,-2.380952380952381
2025-10-14,6160,6410,5970,6370,3707087,3.577235772357724
2025-10-15,6300,6820,6260,6630,11888883,4.081632653061225
2025-10-16,6600,6610,6270,6370,2452961,-3.9215686274509802
2025-10-17,6390,6540,6140,6160,2798442,-3.296703296703297
2025-10-20,6300,6700,6160,6220,5558096,0.974025974025974
2025-10-21,6300,6330,5980,6010,2513229,-3.376205787781351
2025-10-22,5980,6110,5830,5930,1418465,-1.3311148086522462
2025-10-23,5900,6010,5760,5930,1102382,0.0
2025-10-24,5970,5970,5760,5850,940710,-1.3490725126475547
2025-10-27,5850,6150,5770,6130,1549590,4.786324786324787
2025-10-28,6190,6190,5840,6000,1321198,-2.1207177814029365
2025-10-29,6000,6020,5850,5870,850753,-2.166666666666667
2025-10-30,5900,6000,5750,5810,927827,-1.0221465076660987
2025-10-31,5820,5960,5780,5840,858807,0.5163511187607573
2025-11-03,5840,6070,5750,6030,1580835,3.2534246575342465
2025-11-04,6030,6110,5860,5970,1486583,-0.9950248756218906
2025-11-05,6090,6250,5650,5830,1931209,-2.3450586264656614
2025-11-06,5850,5980,5740,5750,1126260,-1.3722126929674099
2025-11-07,5670,5760,5450,5570,826220,-3.130434782608696
2025-11-10,5660,5660,5530,5550,524997,-0.3590664272890485
2025-11-11,5530,5630,5250,5280,1069187,-4.864864864864865
2025-11-12,5370,5750,5350,5720,1250643,8.333333333333332
2025-11-13,5720,6950,5670,6190,34596147,8.216783216783217
2025-11-14,6280,6740,6200,6400,13994095,3.392568659127625
2025-11-17,6540,7220,6450,6980,23945536,9.0625
2025-11-18,6940,7460,6810,7180,15867366,2.865329512893983
2025-11-19,7130,7410,6810,6940,5412691,-3.3426183844011144
2025-11-20,6940,7380,6820,7240,6960687,4.322766570605188
2025-11-21,7040,7450,7010,7130,4956272,-1.5193370165745856
2025-11-24,7250,7950,7050,7250,7927136,1.6830294530154277
2025-11-25,7300,7920,7300,7500,7856374,3.4482758620689653
2025-11-26,7680,9090,7560,8770,38011896,16.933333333333334
2025-11-27,8770,11280,8630,10840,39233565,23.603192702394526
2025-11-28,10840,11050,10380,10830,10485871,-0.09225092250922509
2025-12-01,10780,10780,9970,10070,6169990,-7.017543859649122
2025-12-02,10060,11700,9900,10950,21910995,8.738828202581926
2025-12-03,10900,10940,10130,10250,4536791,-6.392694063926941
2025-12-04,10260,10580,10080,10390,4548096,1.3658536585365855
2025-12-05,10210,11950,10200,11020,12823585,6.063522617901828
2025-12-08,11060,12100,11060,11830,11161154,7.350272232304899
2025-12-09,11750,11940,10810,11130,5136865,-5.9171597633136095
2025-12-10,11310,11730,10870,11580,4733198,4.0431266846361185
2025-12-11,11750,14850,11750,14150,25234774,22.19343696027634
2025-12-12,14150,16110,14050,15290,16591101,8.056537102473499
2025-12-15,14500,15700,14050,15380,3955969,0.5886200130804448
2025-12-16,15380,15810,14700,14900,1944373,-3.1209362808842656
2025-12-17,14960,15170,13530,13540,1882924,-9.12751677852349
2025-12-18,13290,14120,12610,13050,2240088,-3.61890694239291
2025-12-19,13400,13960,12530,13500,2253046,3.4482758620689653
2025-12-22,13850,14100,13250,13580,1281249,0.5925925925925926
2025-12-23,13580,13610,13080,13310,1041988,-1.9882179675994107
2025-12-24,13330,13970,12950,13110,1222307,-1.5026296018031555
2025-12-26,13070,14360,12670,14300,2336549,9.077040427154843
