날짜,시가,고가,저가,종가,거래량,등락률
2017-02-14,79682,79839,78897,78979,283257,-1.082123667697857
2017-02-15,79213,80078,79056,79765,299573,0.995201256030084
2017-02-16,80235,80235,79370,79922,300347,0.19682818278693662
2017-02-17,79131,79761,79131,79293,359940,-0.7870173419083606
2017-02-20,79447,79761,79211,79215,204570,-0.09836933903371041
2017-02-21,79290,79524,79132,79372,286734,0.1981947863409708
2017-02-22,79446,80939,78817,79450,771783,0.09827143073124023
2017-02-23,80157,80471,79528,79765,407157,0.39647577092511016
2017-02-24,79995,80153,79131,79135,377293,-0.7898200965335673
2017-02-27,79292,80471,79292,79765,395242,0.796107916850951
2017-02-28,80157,80314,79370,79765,294889,0.0
2017-03-02,80154,80154,79210,79372,374785,-0.49269729831379677
2017-03-03,79368,79683,78896,79372,286477,0.0
2017-03-06,79131,79602,78895,79135,240698,-0.2985939626064607
2017-03-07,79056,79214,78821,78822,231467,-0.3955266317053137
2017-03-08,78978,79135,78349,78429,310594,-0.49859176372078856
2017-03-09,78503,78896,77953,77957,372848,-0.6018182050007013
2017-03-10,78031,78110,76774,77564,636960,-0.5041240683966802
2017-03-13,77325,78031,77245,77407,336118,-0.2024134907946986
2017-03-14,77170,77641,76856,77014,429432,-0.5077060214192515
2017-03-15,77245,77559,74337,74341,1453735,-3.4707975173345105
2017-03-16,74027,75756,74027,75678,627239,1.7984692161794973
2017-03-17,75911,75911,72062,72377,1497661,-4.3619017415893655
2017-03-20,71587,71979,69308,71905,1938915,-0.6521408734819072
2017-03-21,71590,72690,70570,70570,1058895,-1.8566163688199708
2017-03-22,71194,72138,70094,70334,1180705,-0.3344197250956497
2017-03-23,70490,70804,68761,69234,1362733,-1.563966218329684
2017-03-24,69704,70570,68682,70570,1102508,1.9296877256839127
2017-03-27,70879,72294,70250,71512,955829,1.3348448349156865
2017-03-28,71901,71979,70801,71355,476882,-0.21954357310661146
2017-03-29,71511,71590,70804,70884,408644,-0.660079882278747
2017-03-30,71040,71589,70647,70962,455343,0.1100389368545793
2017-03-31,70725,71511,70725,70805,330499,-0.22124517347312647
2017-04-03,70802,70880,70172,70334,584106,-0.6652072593743379
2017-04-04,70410,71511,70175,70962,605733,0.8928825319191288
2017-04-05,71276,71432,70569,71198,352073,0.3325723626729799
2017-04-06,71275,71275,70568,70962,282950,-0.33146998511194137
2017-04-07,71275,71275,70725,70805,255878,-0.22124517347312647
2017-04-10,70648,70726,69627,69627,515371,-1.6637243132547135
2017-04-11,69782,70883,69782,70491,417331,1.240897927528114
2017-04-12,70490,71039,70332,70805,299267,0.44544693648834605
